Epic,Name,Price(p),Change,% Change,30day %,Market Cap(m),,,,,,
3IN,3i Infrastructure,258.88,0.53,0.21,0.73,2103.48
888,888 Holdings,164.45,1.85,1.14,-0.87,607.26
ACA,Acacia Mining,206.10,3.80,1.88,8.53,784.70
AGK,Aggreko,724.60,11.60,1.63,-1.79,1856.16
AGR,Assura Group,53.25,0.45,0.85,-1.93,1265.17
AMGO,Amigo Holdings,275.80,0.80,0.29,3.45,0.00
AML,Aston Martin Lagonda,1192.20,17.20,1.46,-12.12,0.00
APAX,Apax Global Alpha,141.25,1.25,0.89,4.63,658.08
ASCL,Ascential,379.30,-1.30,-0.34,2.85,1501.47
ASHM,Ashmore Group,363.60,4.20,1.17,-4.01,2575.13
ASL,Aberforth Smaller Companies Trust,1147.00,1.00,0.09,-3.45,1039.86
ATST,Alliance Trust,688.00,0.00,0.00,-5.88,2295.35
AVST,Avast,279.05,2.45,0.89,2.88,0.00
AVV,AVEVA Group,2282.00,-2.00,-0.09,-6.48,3893.07
BAB,Babcock International Group,489.80,12.20,2.55,-11.52,2419.28
BAG,Barr (A G),797.50,0.50,0.06,2.37,907.57
BAKK,Bakkavor Group,143.80,0.20,0.14,-0.28,833.21
BBA,BBA Aviation,218.00,3.00,1.40,-5.38,2250.20
BBGI,BBGI Sicav S.A.,154.75,-0.75,-0.48,-0.48,900.46
BBOX,Tritax Big Box Reit,133.20,0.90,0.68,-0.60,1942.89
BBY,Balfour Beatty,247.60,4.00,1.64,4.21,1709.18
BCA,BCA Marketplace,204.75,-2.25,-1.09,-2.50,1684.37
BEZ,Beazley,499.60,3.00,0.60,-7.91,2661.24
BGEO,BGEO Group,1377.80,33.60,2.50,2.29,674.56
BGFD,Baillie Gifford Japan Trust (the),679.00,-2.00,-0.29,-14.70,623.15
BGSC,BMO GLOBAL SMALLER COMPANIES PLC ORD 25P,1232.50,12.50,1.02,-7.68,744.73
BME,B&M; European Value Retail,287.45,3.75,1.32,-15.33,2868.11
BNKR,Bankers' Investment Trust (the),784.50,6.50,0.84,-5.37,959.40
BOY,Bodycote,708.50,14.50,2.09,-3.21,1372.74
BRSC,BlackRock Smaller Companies Trust,1212.50,7.50,0.62,0.21,580.54
BRW,Brewin Dolphin Holdings,331.70,4.50,1.38,2.63,933.37
BTEM,British Empire Trust,672.50,2.50,0.37,-6.34,743.02
BTG,BTG,827.75,1.25,0.15,0.15,3208.92
BVIC,Britvic,818.50,0.50,0.06,-2.85,2142.29
BVS,Bovis Homes Group,866.60,23.00,2.73,-1.52,1159.25
BWY,Bellway,2606.00,50.00,1.96,-1.47,3142.52
BYG,Big Yellow Group,874.00,4.50,0.52,-1.47,1444.15
CAPC,Capital & Counties Properties,233.35,3.45,1.50,-8.53,1953.45
CARD,Card Factory,184.80,1.90,1.04,-0.05,623.67
CBG,Close Brothers Group,1463.00,17.00,1.18,-2.14,2193.13
CCC,Computacenter,971.00,6.00,0.62,-2.51,1142.55
CCFS,Charter Court Financial Services Group,261.50,1.90,0.73,9.87,604.76
CEY,Centamin,124.50,2.35,1.92,24.50,1317.31
CINE,Cineworld Group,265.40,7.80,3.03,-5.95,3529.37
CKN,Clarkson,2092.50,-32.50,-1.53,-2.67,600.67
CLDN,Caledonia Investments,2822.50,37.50,1.35,0.62,1558.77
CLI,CLS Holdings,210.00,1.00,0.48,-4.11,877.94
CNE,Cairn Energy,156.10,3.10,2.03,-8.34,896.04
COA,Coats Group,82.40,0.10,0.12,3.26,1172.69
COB,Cobham,97.39,0.55,0.57,-3.95,2402.49
CPI,Capita Group (The),112.70,4.25,3.92,2.88,1909.50
CRST,Crest Nicholson Holdings,334.40,5.20,1.58,-0.77,849.64
CSH,W Resources (formerly Caspian Holdings ),103.75,-0.25,-0.24,4.17,645.80
CSP,Countryside Properties,297.70,1.90,0.64,1.26,1350.00
CTEC,ConvaTec Group,137.43,2.43,1.80,-10.06,2679.87
CTY,City Of London Investment Trust (the),383.50,3.50,0.92,-3.28,1381.72
CWK,Cranswick,2669.00,51.00,1.95,-5.42,1346.29
CYBG,CYBG,183.80,5.90,3.32,-6.27,2615.09
DC.,Dixons Carphone,119.23,-0.42,-0.35,-25.99,1397.47
DCG,Dairy Crest Group,432.70,6.30,1.48,-3.84,666.89
DJAN,Daejan Holdings,5725.00,65.00,1.15,-3.46,936.17
DLN,Derwent London,2871.00,28.00,0.98,0.81,3156.58
DNLM,Dunelm Group,561.00,3.00,0.54,-10.24,1083.90
DOM,Domino's Pizza Group,243.15,7.25,3.07,-7.05,1103.57
DPH,Dechra Pharmaceuticals,2080.00,10.00,0.48,-3.61,2142.35
DPLM,Diploma,1159.00,4.00,0.35,-5.93,1340.76
DRX,Drax Group,362.10,-2.10,-0.58,-1.98,1430.84
ECM,Electrocomponents,488.60,8.60,1.79,-2.82,2254.34
EDIN,Edinburgh Investment Trust (the),615.50,7.50,1.23,-1.05,1185.60
EFM,Edinburgh Dragon Trust,358.50,5.50,1.56,-2.58,665.53
EIG,EI Group,191.40,3.40,1.81,5.16,869.28
ELM,Elementis,182.20,1.10,0.61,-3.29,1062.70
EMG,Man Group,135.83,1.38,1.03,-4.01,2119.62
ENOG,Energean Oil Gas,634.80,-19.70,-3.01,9.64,1007.98
EQN,Equiniti Group,207.00,1.50,0.73,-4.61,775.55
ERM,Euromoney Institutional Investor,1198.00,12.00,1.01,-6.41,1306.93
ESNT,Essentra,344.90,6.30,1.86,-6.98,887.11
ETO,Entertainment One Group,355.80,3.80,1.08,-1.55,1665.48
FCH,Funding Circle Holdings Ord 0.1p Wi,319.50,-3.95,-1.22,-16.87,0.00
FCIT,F&C; INVESTMENT TRUST PLC ORD 25P,638.50,2.50,0.39,-6.52,3454.33
FCPT,F&C; Commercial Property Tst Ld,125.20,0.80,0.64,-5.30,993.61
FCSS,Fidelity China Special Situations,185.40,2.00,1.09,-9.12,1027.16
FDM,FDM Group (Holdings),758.50,12.50,1.68,-7.61,817.45
FEV,Fidelity European Values,209.00,1.00,0.48,-3.02,858.35
FGP,FirstGroup,86.25,0.60,0.70,-3.74,1015.56
FGT,Finsbury Growth & Income Trust,752.00,7.00,0.94,-2.08,1348.54
FSJ,Fisher (James) & Sons,1760.00,22.00,1.27,6.80,870.79
FSV,Fidelity Special Values,231.00,4.00,1.76,-5.33,609.21
FXPO,Ferrexpo,193.23,5.68,3.03,5.04,1106.03
GAW,Games Workshop Group,3082.50,-7.50,-0.24,-0.40,976.50
GCP,GCP Infrastructure Investments,127.10,-0.50,-0.39,2.01,1112.58
GFRD,Galliford Try,646.50,20.00,3.19,-4.72,665.64
GFS,G4S,199.20,3.95,2.02,5.51,3091.24
GFTU,Grafton Group,676.00,16.50,2.50,-3.01,1556.18
GLO,Contourglobal Ord 1p Wi,176.20,4.10,2.38,-2.06,1204.60
GNC,Greencore Group,184.80,1.45,0.79,0.41,1275.04
GNK,Greene King,549.70,13.90,2.59,1.46,1636.80
GNS,Genus,2209.00,-1.00,-0.05,-4.54,1430.36
GOG,Go-Ahead Group (The),1540.50,28.50,1.88,-9.01,649.04
GPOR,Great Portland Estates,665.85,4.85,0.73,-3.93,1865.85
GRG,Greggs,1319.00,12.00,0.92,-4.35,1284.17
GRI,Grainger,209.40,2.40,1.16,-7.83,1270.10
GSS,Genesis Emerging Markets Fnd Ld,636.50,8.50,1.35,-1.77,770.71
HAS,Hays,140.50,4.00,2.93,-7.99,2051.67
HFD,Halfords Group,260.00,-0.40,-0.15,-9.47,518.10
HFG,Hilton Food Group,944.00,2.00,0.21,3.06,745.80
HGT,HG Capital Trust,1792.50,12.50,0.70,-5.16,671.85
HICL,HICL Infrastructure Co,158.25,0.05,0.03,1.12,2827.48
HILS,Hill & Smith Holdings,1149.50,-9.50,-0.82,-2.42,948.97
HMSO,Hammerson,331.00,5.20,1.60,-13.08,2487.39
HOC,Hochschild Mining,174.75,1.75,1.01,6.46,831.79
HRI,Herald Investment Trust,1085.00,25.00,2.36,-3.56,749.31
HSTG,Hastings Group Holdings,192.20,4.70,2.51,3.61,1223.65
HSV,Homeserve,870.75,8.75,1.02,-7.86,2910.16
HTG,Hunting,479.10,7.50,1.59,-12.09,800.28
HVPE,Harbourvest Global Private Equity,1366.00,2.00,0.15,-1.44,1094.92
HWDN,Howden Joinery Group,450.90,9.90,2.24,-0.90,2676.45
IBST,Ibstock,206.40,3.80,1.88,-2.09,834.45
ICP,Intermediate Capital Group,947.25,5.75,0.61,-5.56,2755.43
IGG,IG Group Holdings,585.25,2.75,0.47,4.32,2133.77
IHP,Integrafin Holdings Ord 1p Wi,305.33,3.58,1.19,6.20,1009.97
IMI,IMI,926.75,27.75,3.09,-2.91,2636.66
INCH,Inchcape,551.75,2.25,0.41,-2.17,2296.69
INDV,Indivior,118.43,6.03,5.36,26.45,842.30
INPP,International Public Partnership,154.40,-0.20,-0.13,-2.03,2281.41
INTU,Intu Properties,109.73,-0.77,-0.70,-1.10,1476.99
INVP,Investec,442.75,5.25,1.20,-5.21,2995.19
IPO,IP Group,109.10,-0.30,-0.27,-10.43,1177.77
ISAT,Inmarsat,390.40,0.60,0.15,-9.12,1819.94
IWG,IWG,209.45,3.75,1.82,-3.79,1854.10
JAM,JPMorgan American IT,399.75,3.75,0.95,-8.21,878.84
JD.,JD Sports Fashion,352.75,3.55,1.02,-6.68,3412.16
JDW,Wetherspoon (J D),1126.00,19.00,1.72,-1.14,1171.59
JE.,Just Eat,577.10,6.50,1.14,2.14,4009.98
JEO,Jupiter European Opportunities Trust,686.50,8.50,1.25,-7.73,772.68
JFJ,JPMorgan Japanese Investment Trust,379.00,2.00,0.53,-9.11,608.71
JII,JPMorgan Indian Investment Trust,695.00,7.00,1.02,2.96,730.98
JLG,John Laing Group,331.70,0.90,0.27,3.20,1627.90
JLT,Jardine Lloyd Thompson Group,1892.00,2.00,0.11,-0.11,4142.01
JMG,JPMorgan Emerging Markets Investment Trust,847.50,5.50,0.65,0.53,1049.93
JUP,Jupiter Fund Management,295.70,4.80,1.65,-7.33,1354.79
JUST,Just Group,94.73,-1.12,-1.17,9.45,872.65
KAZ,Kaz Minerals,507.20,13.90,2.82,-10.45,2366.22
LMP,LondonMetric Property,174.45,1.75,1.01,-1.77,1203.13
LRE,Lancashire Holdings,595.00,4.50,0.76,-5.03,1219.22
MAB,Mitchells & Butlers,253.20,1.00,0.40,-4.81,1083.20
MCS,McCarthy Stone,133.75,0.75,0.56,-2.59,749.04
MDC,Mediclinic International,299.50,-5.50,-1.80,-13.54,2305.36
MERL,Merlin Entertainments,319.80,2.00,0.63,-4.42,3245.08
MGAM,Morgan Advanced Materials,254.70,0.70,0.28,-3.89,747.67
MGGT,Meggitt,461.20,3.20,0.70,-8.46,3642.97
MLC,Millennium & Copthorne Hotels,492.25,10.25,2.13,4.40,1558.19
MNKS,Monks Investment Trust (the),732.00,5.00,0.69,-6.51,1606.43
MONY,Moneysupermarket.com Group,283.25,3.65,1.31,-5.58,1504.38
MRC,Mercantile Investment Trust,175.36,1.70,0.98,-3.78,1390.03
MSLH,Marshalls,473.60,4.60,0.98,9.94,941.17
MTRO,Metro Bank,1765.00,31.00,1.79,-13.99,1674.61
MYI,Murray International Trust,1134.00,14.00,1.25,4.04,1440.33
NBLS,NB Global Floating Rate Inc Fund Â£,88.30,0.20,0.23,-1.23,645.94
NEX,National Express Group,373.20,1.60,0.43,-6.75,1892.41
NRR,NewRiver Retail,207.75,0.75,0.36,-7.46,634.13
OSB,Onesavings Bank,350.50,6.50,1.89,0.83,862.06
PAG,Paragon Banking Group,399.40,6.80,1.73,-2.87,1027.11
PAGE,PageGroup,446.80,6.00,1.36,-9.30,1469.08
PCT,Polar Capital Technology Trust,1097.00,7.00,0.64,-7.97,1500.18
PFC,Petrofac,494.10,13.10,2.72,0.10,1654.50
PFG,Provident Financial,589.60,3.00,0.51,-4.44,1476.90
PHNX,Phoenix Group Holdings,565.35,7.35,1.32,-4.58,4091.36
PHP,Primary Health Properties,113.10,2.10,1.89,2.82,855.93
PIN,Pantheon International,1982.50,-7.50,-0.38,-3.29,1067.41
PLI,Perpetual Income And Growth Investment Trust,316.75,2.75,0.88,-0.86,749.36
PLP,Polypipe Group,332.30,0.10,0.03,-0.57,663.67
PLUS,Plus500,1468.00,42.00,2.95,4.86,1567.28
PMO,Premier Oil,72.60,3.40,4.91,-2.75,544.57
PNL,Personal Assets Trust,39125.00,-25.00,-0.06,-2.43,911.72
PNN,Pennon Group,717.00,1.80,0.25,0.79,2982.16
POLY,Polymetal International,871.30,7.50,0.87,10.40,3932.37
PSH,Pershing Square Holdings Ord Npv,1037.00,11.00,1.07,-9.83,2192.16
PTEC,Playtech,395.85,1.45,0.37,-5.09,1243.52
PZC,PZ Cussons,212.70,-1.70,-0.79,-5.13,913.18
QLT,Quilter Ord Gbp0.07,121.09,3.95,3.37,4.21,0.00
QQ.,QinetiQ Group,290.35,1.45,0.50,-0.29,1647.09
RAT,Rathbone Brothers,2337.00,9.00,0.39,-3.91,1343.19
RCP,RIT Capital Partners,1934.00,12.00,0.62,-2.81,2965.66
RDW,Redrow,495.70,6.70,1.37,-0.10,1811.28
RHIM,RHI Magnesita NV,3973.00,55.00,1.40,12.49,1923.81
RMG,Royal Mail,283.65,2.45,0.87,-10.07,2722.00
RNK,Rank Group (The),145.50,3.30,2.32,1.75,546.57
ROR,Rotork,243.05,5.35,2.25,-4.31,2144.66
RPC,RPC Group,659.80,9.80,1.51,-2.94,2648.71
RSE,Riverstone Energy Limited,1078.00,4.00,0.37,-9.26,870.87
RSW,Renishaw,3922.00,32.00,0.82,-9.00,3046.20
RTN,Restaurant Group (The),147.10,1.10,0.75,1.45,703.82
SAFE,Safestore Holdings,522.25,0.75,0.14,-1.83,1070.01
SAGA,Saga,103.60,0.40,0.39,-7.83,1153.42
SBRE,Sabre Insurance Group,268.00,2.00,0.75,-6.62,680.00
SCIN,Scottish Investment Trust (the),769.00,6.00,0.79,-4.35,584.28
SCT,Softcat,575.50,5.50,0.96,-3.92,1154.05
SDP,Schroder Asiapacific Fund,393.50,4.50,1.16,-4.95,667.37
SDRY,Superdry,482.80,-5.40,-1.11,-31.81,381.90
SEQI,Sequoia Economic Infrastructure Income Fund,111.75,-0.75,-0.67,0.22,1196.05
SGC,Stagecoach Group,135.70,0.30,0.22,-23.33,775.15
SHB,Shaftesbury,831.50,11.50,1.40,-5.40,2524.36
SHI,SIG,111.95,-1.05,-0.93,1.31,657.81
SMP,St Modwen Properties,406.60,-0.80,-0.20,1.30,898.40
SMWH,WH Smith,1779.50,25.50,1.45,-6.29,1901.30
SNN,Sanne Group,555.50,0.50,0.09,-6.32,849.13
SNR,Senior,190.25,0.35,0.18,-17.71,807.38
SOPH,Sophos Group,366.80,6.80,1.89,0.71,1820.98
SPD,Sports Direct International,247.45,2.05,0.84,-15.52,1295.17
SPT,Spirent Communications,115.10,-0.70,-0.60,-10.22,713.29
SRP,Serco Group,99.65,1.55,1.58,14.28,1074.95
SSON,SMITHSON INVESTMENT TRUST PLC ORD 1P,1006.50,-13.50,-1.32,-3.59,0.00
SSPG,SSP Group,649.80,6.30,0.98,1.93,3075.42
STOB,Stobart Group,149.40,-1.00,-0.66,-8.68,548.15
SVS,Savills,715.25,7.25,1.02,0.81,1004.75
SXS,Spectris,2209.00,21.00,0.96,-11.14,2615.90
SXX,Sirius Minerals,21.10,0.08,0.38,-5.13,1020.81
SYNC,Syncona,268.00,6.00,2.29,0.75,1762.16
SYNT,Synthomer,354.00,5.60,1.61,-9.32,1206.92
TALK,TalkTalk Telecom Group,114.25,1.05,0.93,-8.01,1316.49
TATE,Tate & Lyle,667.00,-1.00,-0.15,-3.97,3107.60
TBCG,TBC Bank Group,1479.00,23.00,1.58,1.30,823.97
TCAP,TP Icap,306.90,3.90,1.29,2.30,1689.16
TED,Ted Baker,1560.00,3.00,0.19,6.34,711.64
TEM,Templeton Emerging Markets Investment Trust,682.00,4.00,0.59,-3.26,1737.43
TEP,Telecom plus,1470.00,14.00,0.96,6.99,1113.45
TIFS,Ti Fluid Systems Ord 1p Wi,161.85,-1.15,-0.71,-14.82,848.22
TLW,Tullow Oil,189.30,6.75,3.70,-0.21,2535.56
TMPL,Temple Bar Investment Trust,1160.00,12.00,1.05,-1.69,771.04
TPK,Travis Perkins,1075.50,21.50,2.04,-5.58,2692.90
TRIG,The Renewables Infrastructure Group,113.50,0.10,0.09,1.52,1336.28
TRY,TR Property Investment Trust,363.50,7.00,1.96,-4.34,1136.12
UDG,UDG Healthcare,603.25,3.75,0.63,-6.11,1483.57
UKCM,UK Commercial Property Trust,83.10,0.40,0.48,1.71,1071.37
UKW,Greencoat UK Wind,128.00,0.40,0.31,0.16,1440.34
ULE,Ultra Electronics Holdings,1299.50,21.50,1.68,-5.01,911.60
UTG,Unite Group,812.25,6.25,0.78,-2.32,2129.20
VCT,Victrex,2260.00,88.00,4.05,-1.91,1930.28
VEIL,Vietnam Enterprise Investments,446.00,-2.00,-0.45,-3.04,991.40
VOF,VinaCapital Vietnam Opp. Fund,331.00,-2.00,-0.60,-2.65,622.05
VSVS,Vesuvius,491.10,11.10,2.31,-2.37,1358.10
VVO,Vivo Energy,120.61,-5.51,-4.37,5.04,0.00
WEIR,Weir Group,1289.00,44.50,3.58,-10.24,3341.49
WIZZ,Wizz Air Holdings,2792.00,15.00,0.54,-4.15,1997.97
WKP,Workspace Group,818.75,-0.25,-0.03,-2.53,1446.65
WMH,William Hill,161.53,3.43,2.17,-0.69,1362.61
WPCT,Woodford Patient Capital Trust,82.80,0.30,0.36,-6.55,685.58
WTAN,Witan Investment Trust,971.50,6.50,0.67,-4.94,1725.96
WWH,Worldwide Healthcare Trust,2405.00,2.98,0.12,-10.43,1243.83
